No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change,Change_num,social_total_posts,social_bullish,social_bearish,social_unlabeled,social_sentiment_score,message_density,weighted_density
1,QNCX,Quince Therapeutics Inc,29.39,2966.97,532.59,1580191566,0.53,305.92%,305.92,152.0,72.0,9.0,71.0,0.7777777777777778,120.76804237475172,93.93069962480689
2,JZXN,Jiuzi Holdings Inc,3.59,758.7,102.06,77432645,2.58,89.71%,89.71,26.0,8.0,4.0,14.0,0.3333333333333333,6.960142772159429,2.3200475907198097
3,EVMN,Evommune Inc,915.14,227.06,70.35,15973500,29.03,70.87%,70.87,30.0,9.0,4.0,17.0,0.38461538461538464,6.347340581839553,2.441284839169059
4,HURA,TuHURA Biosciences Inc,78.94,858.79,25.47,21871920,1.3,60.47%,60.47,164.0,95.0,11.0,58.0,0.7924528301886793,4.646404230872146,3.682056182955286
5,FGL,Founder Group Ltd,4.23,34.35,24.83,853037,15.44,55.96%,55.96,41.0,29.0,0.0,12.0,1.0,14.757048590281943,14.757048590281943
6,NKTR,Nektar Therapeutics,1139.12,772.14,11.29,8715329,56.0,51.07%,51.07,34.0,9.0,1.0,24.0,0.8,7.216130173328617,5.772904138662894
7,CNET,ZW Data Action Technologies Inc,3.4,11.83,1884.85,22302278,1.04,49.98%,49.98,25.0,7.0,2.0,16.0,0.5555555555555556,2.6699101130261944,1.4832833961256637
8,EWCZ,European Wax Center Inc,310.94,405.35,28.9,11713162,5.72,43.00%,43.0,22.0,4.0,0.0,18.0,1.0,2.9497206703910615,2.9497206703910615
9,SUNE,SUNation Energy Inc,5.08,1028.01,14.12,14517373,1.49,41.90%,41.9,28.0,15.0,2.0,11.0,0.7647058823529411,8.226556761609402,6.290896347113072
10,ESOA,Energy Services of America Corp,210.79,159.99,9.33,1492059,12.68,33.47%,33.47,13.0,3.0,3.0,7.0,0.0,1.7777102484236116,0.0
11,ICHR,Ichor Holdings Ltd,1556.58,789.93,7.21,5694871,45.27,32.72%,32.72,25.0,5.0,6.0,14.0,-0.09090909090909091,4.8410521219945135,-0.44009564745404667
12,SPOG,Leverage Shares 2X Long SPOT Daily ETF,,18.14,70.57,1280161,7.83,30.18%,30.18,2.0,1.0,0.0,1.0,1.0,1.7307692307692308,1.7307692307692308
13,DOGD,Tradr 2X Long DDOG Daily ETF,,20.71,24.08,498633,20.68,27.65%,27.65,1.0,1.0,0.0,0.0,1.0,0.0,0.0
14,NMRA,Neumora Therapeutics Inc,499.59,1438.88,5.52,7938579,2.99,25.10%,25.1,26.0,13.0,0.0,13.0,1.0,3.683154291110849,3.683154291110849
15,PHIO,Phio Pharmaceuticals Corp,12.06,380.72,426.24,162276063,1.12,24.44%,24.44,34.0,25.0,1.0,8.0,0.9230769230769231,8.645899554990464,7.980830358452737
16,BGM,BGM Group Ltd,244.67,33.06,20.2,667698,1.33,23.15%,23.15,4.0,4.0,0.0,0.0,1.0,14.486921529175051,14.486921529175051
17,FIGG,Leverage Shares 2x Long FIG Daily ETF,,469.43,6.22,2921939,1.74,17.62%,17.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LXEH,Lixiang Education Holding Co Ltd ADR,5.21,900.42,17.41,15676139,0.28,16.19%,16.19,9.0,7.0,0.0,2.0,1.0,1.1805429039897979,1.1805429039897979
19,SHPU,Direxion Daily SHOP Bull 2X ETF,,40.09,8.32,333336,17.16,15.31%,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,RELL,"Richardson Electronics, Ltd",195.97,87.43,5.91,516689,13.69,15.24%,15.24,4.0,1.0,0.0,3.0,1.0,1.6755876192692576,1.6755876192692576
21,YEXT,Yext Inc,687.94,1097.59,7.02,7708517,5.61,14.26%,14.26,8.0,6.0,0.0,2.0,1.0,4.178757980266976,4.178757980266976
22,HBIO,Harvard Bioscience Inc,26.88,671.43,8.16,5476637,0.6,13.37%,13.37,28.0,13.0,1.0,14.0,0.8571428571428571,3.8839440527106692,3.3290949023234306
23,STRO,Sutro Biopharma Inc,133.24,111.62,5.01,559303,15.64,11.87%,11.87,10.0,3.0,0.0,7.0,1.0,0.8082259440528041,0.8082259440528041
24,MBOT,Microbot Medical Inc,137.67,1872.77,11.41,21369181,2.05,11.41%,11.41,30.0,17.0,0.0,13.0,1.0,3.2639245670766717,3.2639245670766717
25,PHG,Koninklijke Philips N.V. ADR,31283.26,706.68,7.64,5400871,32.91,11.11%,11.11,3.0,1.0,0.0,2.0,1.0,0.9977827050997782,0.9977827050997782
26,HOTH,Hoth Therapeutics Inc,14.74,353.69,11.25,3980055,0.95,10.68%,10.68,31.0,18.0,4.0,9.0,0.6363636363636364,3.266787658802178,2.0788648737832043
27,ABP,Abpro Holdings Inc,4.54,255.64,291.11,74419467,1.67,9.87%,9.87,26.0,11.0,0.0,15.0,1.0,7.004415176232882,7.004415176232882
28,CLGN,CollPlant Biotechnologies Ltd,8.94,55.57,7.85,436013,0.7,9.13%,9.13,6.0,3.0,0.0,3.0,1.0,11.694639956686517,11.694639956686517
29,NISN,NiSun International Enterprise Development Group Co Ltd,5.97,55.48,6.33,351366,1.29,7.92%,7.92,2.0,2.0,0.0,0.0,1.0,1.8614270941054807,1.8614270941054807
30,NETG,Leverage Shares 2X Long NET Daily ETF,,19.97,24.47,488755,9.97,7.77%,7.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,CCO,Clear Channel Outdoor Holdings Inc,1173.64,2352.61,27.36,64356217,2.36,7.76%,7.76,2.0,0.0,0.0,2.0,0.0,0.732824427480916,0.0
32,DDL,Dingdong (Cayman) Ltd ADR,527.41,2157.07,6.3,13593396,2.92,7.75%,7.75,3.0,0.0,0.0,3.0,0.0,0.71551609911223,0.0
33,NETX,Tradr 2X Long NET Daily ETF,,12.16,6.44,78289,14.88,6.76%,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NOWL,GraniteShares 2x Long NOW Daily ETF,,267.03,6.02,1607137,6.55,5.65%,5.65,9.0,3.0,0.0,6.0,1.0,0.31496675350935177,0.31496675350935177
35,KD,Kyndryl Holdings Inc,2541.64,3186.71,10.44,33266731,11.12,5.00%,5.0,34.0,25.0,0.0,9.0,1.0,4.739593417231365,4.739593417231365
36,PODC,PodcastOne Inc,84.5,92.68,5.08,470916,3.14,4.67%,4.67,4.0,2.0,0.0,2.0,1.0,0.992419021364576,0.992419021364576
37,AFRU,T-REX 2X Long AFRM Daily Target ETF,,43.15,5.41,233331,8.89,4.22%,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,LYFX,Tradr 2X Long LYFT Daily ETF,,10.79,5.29,57089,14.08,3.99%,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,EZJ,ProShares Ultra MSCI Japan 2x Shares,,4.34,16.51,71659,68.04,3.63%,3.63,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,BKNU,T-REX 2X Long BKNG Daily Target ETF,,3.34,7.53,25146,13.77,3.61%,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
