No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change
1,LNAI,Lunai Bioworks Inc,13.48,845.78,655,553987291,0.56,162.77%
2,UCAR,U Power Ltd,4.02,55.2,3775.33,208379539,0.72,62.73%
3,BIAF,BioAffinity Technologies Inc,12.32,4651.58,26.85,124884897,2.74,43.46%
4,KRKR,36Kr Holdings Inc ADR,8.44,7.09,59.27,420045,4.74,37.39%
5,LNZA,LanzaTech Global Inc,43.74,9.72,19,184680,18.85,36.89%
6,INLF,INLIF Ltd,2.76,1310.22,43.41,56874428,0.43,34.69%
7,ISPR,Ispire Technology Inc,131.77,69.1,16.34,1129064,2.3,32.56%
8,OCG,Oriental Culture Holding Ltd,1.8,1795,8.95,16071271,1.03,31.08%
9,JVA,Coffee Holding Co Inc,23.52,49.93,54.93,2742839,4.12,29.97%
10,ALOY,REalloys Inc,785.51,508.34,5.7,2899097,13.75,22.22%
11,NBIZ,Tradr 2X Short NBIS Daily ETF,,388.03,6.92,2683466,9.42,21.09%
12,PSQH,PSQ Holdings Inc,38.42,1467.66,15.97,23436805,0.77,20.32%
13,DCGO,DocGo Inc,76.04,757.14,6.39,4839789,0.78,20.08%
14,CYCU,Cycurion Inc,5.15,361.59,5.12,1849758,1.23,19.42%
15,YAAS,Youxin Technology Ltd,10.72,60.77,6.4,389001,0.95,18.68%
16,AEI,Alset Inc,75.86,28.9,5.05,146043,1.95,18.18%
17,LIDR,AEye Inc,82.46,1079.83,62.66,67665092,1.83,18.06%
18,MRLN,Merlin Inc,304.83,235.07,8.03,1887244,9.03,17.58%
19,ARTL,Artelo Biosciences Inc,3.44,26.49,17.58,465703,4.85,16.87%
20,AGRO,Adecoagro S.A,1761.25,806.55,5.62,4536193,12.45,14.22%
21,UK,Ucommune International Ltd,1.25,63.25,5.3,335334,0.59,13.42%
22,RFIL,RF Industries Ltd,140.67,225.19,6.12,1378489,13.13,12.32%
23,ONFO,Onfolio Holdings Inc,4.05,116.82,30.92,3611984,0.69,11.83%
24,KNDI,Kandi Technologies Group Inc,90.29,143.11,72.71,10405208,1.05,11.70%
25,JTAI,Jet.AI Inc,12.64,32610.71,12.72,414860943,0.11,11.46%
26,FLYX,flyExclusive Inc,249.57,2370.16,7.8,18477877,2.64,7.52%
27,LSAK,Lesaka Technologies Inc,456.94,75.43,5.6,422046,5.45,6.56%
28,WETO,Wetour Robotics Ltd,13.5,31.02,5.32,165011,0.61,5.65%
29,NFE,New Fortress Energy Inc,327.23,9850.37,7.14,70318460,1.15,5.50%
30,WBI,WaterBridge Infrastructure LLC,1991.12,651.2,8.08,5261034,24.83,3.72%
31,KVHI,"KVH Industries, Inc",157.39,61.48,6.08,373631,8.08,3.59%
32,PBRG,Leverage Shares 2X Long PBR Daily ETF,,3.58,5.55,19837,41.47,3.59%
33,CRCO,YieldMax CRCL Option Income Strategy ETF,,60.87,23.69,1441966,31.72,3.05%
34,YDDL,One and one Green Technologies. Inc,444.42,81.6,16.09,1312593,8.23,2.75%
35,HARD,Simplify Commodities Strategy No K-1 ETF,,27.89,11.04,308031,35.14,2.66%
36,SHIM,Shimmick Corp,112.97,58.27,28.67,1670290,3.13,2.62%
37,BLSG,Leverage Shares 2X Long BLSH Daily ETF,,30.84,7.01,216331,6.29,2.57%
38,HOOY,YieldMax HOOD Option Income Strategy ETF,,139.52,5.21,727545,31.16,2.37%
