No.,Ticker,Company,Market Cap,Average Volume,Relative Volume,Volume,Price,Change,social_window_minutes,social_window_end_et,social_total_posts,social_bullish,social_bearish,social_unlabeled,social_sentiment_score,social_sentiment_labeled_only,message_density,weighted_density
1,CCHH,CCH Holdings Ltd,26.25,4528.46,39.03,176738733,1.35,135.19%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
2,BRLS,Borealis Foods Inc,32.85,92.03,853.5,78551880,1.53,134.30%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
3,UOKA,MDJM Ltd,2.45,210.8,521.13,109854989,2.3,93.28%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
4,EZRA,Reliance Global Group Inc,2.71,1717.53,222.24,381699442,0.25,55.56%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
5,IFBD,Infobird Co Ltd,8.51,17.57,155.16,2725464,1.04,48.55%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
6,RITR,Reitar Logtech Holdings Ltd,76.81,213.86,234.05,50053219,1.23,48.19%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
7,MPU,Mega Matrix Inc,55.68,132.54,45.2,5991236,0.82,37.18%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
8,MIMI,Mint Inc Ltd,8.81,3119.99,45.54,142088454,0.35,37.08%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
9,BLSX,Tradr 2X Long BLSH Daily ETF,,13.85,8.42,116676,7.57,34.46%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
10,VAL,Valaris Ltd,5831.97,1017.17,15.54,15804837,83.82,34.31%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
11,PLBY,Playboy Inc,228.44,766.76,26.13,20033612,2.12,33.33%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
12,ENSC,Ensysce Biosciences Inc,2.21,222.68,35.83,7979561,0.61,31.77%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
13,HUMA,Humacyte Inc,235.46,4801.22,5.58,26776103,1.22,30.02%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
14,ATXG,Addentax Group Corp,4.98,278.72,30.81,8588856,0.43,29.30%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
15,HURA,TuHURA Biosciences Inc,49.19,786.05,5.92,4654538,0.81,28.79%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
16,APPX,Tradr 2X Long APP Daily ETF,,990.67,5.12,5075658,14.3,26.55%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
17,LASE,Laser Photonics Corp,17.3,959.71,6.82,6548306,0.76,26.40%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
18,ZYBT,Zhengye Biotechnology Holding Ltd,49.76,20.44,5.08,103812,1.05,24.94%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
19,TNON,Tenon Medical Inc,9.1,206.68,220.45,45562801,0.82,22.17%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
20,RBLU,T-REX 2X Long RBLX Daily Target ETF,,105.16,5.48,576797,21.75,21.37%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
21,ORCU,Direxion Daily ORCL Bull 2X ETF,,382.38,5.97,2282600,11.41,19.10%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
22,UNX,Tradr 2X Long U Daily ETF,,41.92,9.57,401102,6.3,18.64%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
23,PLSE,Pulse Biosciences Inc,1640.66,227.23,5.46,1240813,24.21,16.67%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
24,BANL,CBL International Ltd,9.54,47.41,13.06,619450,0.35,14.27%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
25,LGO,Largo Inc,139.73,780.19,5.81,4531446,1.67,12.84%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
26,JZ,Jianzhi Education Technology Group Co Ltd ADR,2.76,29.62,11.17,331038,0.98,12.32%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
27,UUU,Universal Safety Products Inc,11.41,114.35,12.41,1419143,4.93,12.05%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
28,HLP,Hongli Group Inc,83.72,84.07,11.2,941339,1.14,10.68%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
29,SKK,SKK Holdings Ltd,5.84,94.97,5.89,559053,0.31,9.08%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
30,TGNA,TEGNA Inc,3340.31,1365.55,5.44,7422112,20.74,8.76%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
31,SSKN,STRATA Skin Sciences Inc,6.83,93.39,11.79,1100882,1.16,8.41%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
32,ICMB,Investcorp Credit Management BDC Inc,44.13,31.65,6.13,193907,3.06,8.13%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
33,BAFN,BayFirst Financial Corp,29.88,10.25,7.32,75044,7.27,7.54%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
34,MNTS,Momentus Inc,8.99,2432.66,13.44,32701292,6.44,7.33%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
35,GOEX,Global X Gold Explorers ETF,,50.46,6.89,347575,96.1,6.79%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
36,NOWL,GraniteShares 2x Long NOW Daily ETF,,241.53,6.62,1598181,6.2,6.16%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
37,MBIN,Merchants Bancorp,2067.76,169.67,7.99,1355374,45.06,6.07%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
38,RIG,Transocean Ltd,6289.23,34194.63,5.36,183236477,5.71,5.94%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
39,EAF,GrafTech International Ltd,230.31,239.98,6.93,1662183,8.92,5.69%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
40,CYBR,CyberArk Software Ltd,20656.17,582.6,7.94,4628386,409.22,4.45%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
41,EZJ,ProShares Ultra MSCI Japan 2x Shares,,3.22,21.9,70526,65.66,4.43%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
42,OSW,OneSpaWorld Holdings Limited,2258.25,616.14,29.76,18336854,22.15,4.14%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
43,GLDB,IDX Alternative FIAT ETF,,22.24,6.67,148308,24.89,4.11%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
44,JYD,Jayud Global Logistics Ltd,7.05,86.94,5.07,440912,2.58,4.03%,60,2026-02-09 21:00:07 EST,0,0,0,0,0.0,0.0,0.0,0.0
